     t         kpm        kmax       Hmax       ksec       Hsec        Hp         Hm         HHp       HHm        HH0      mu5rms    mu5rms_ts  mu5m_ts      EMag       HMag      xiMag      xiHel
1.00427e+00  0.00000e+00  6.20000e+01  0.00000e+00  4.10000e+01 -0.00000e+00  0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  3.01565e-03 -3.06522e-08  1.01973e-02 -3.72184e-02
1.50357e+00  0.00000e+00  6.20000e+01  0.00000e+00  4.10000e+01 -0.00000e+00  0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  2.15950e-03 -2.89706e-08  1.03752e-02 -2.72566e-01
2.00287e+00  0.00000e+00  6.20000e+01  0.00000e+00  4.10000e+01 -0.00000e+00  0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.71101e-03 -2.71454e-08  1.04339e-02  1.44926e-01
2.50371e+00  0.00000e+00  2.50000e+01  0.00000e+00  4.10000e+01 -0.00000e+00  0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.43874e-03 -2.60505e-08  1.04884e-02  5.18966e-02
3.00253e+00  0.00000e+00  2.50000e+01  0.00000e+00  4.10000e+01 -0.00000e+00  0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.25426e-03 -2.40277e-08  1.05521e-02  3.37385e-02
3.50329e+00  0.00000e+00  3.90000e+01  0.00000e+00  4.10000e+01 -0.00000e+00  0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.11806e-03 -2.06319e-08  1.06259e-02  2.93283e-02
4.00431e+00  0.00000e+00  3.90000e+01  0.00000e+00  4.10000e+01 -0.00000e+00  0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.01164e-03 -1.62255e-08  1.07053e-02  2.85516e-02
4.50291e+00  0.00000e+00  3.90000e+01  0.00000e+00  4.60000e+01 -0.00000e+00  0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  9.25417e-04 -1.37487e-08  1.07854e-02  2.47141e-02
5.00386e+00  0.00000e+00  3.90000e+01  0.00000e+00  4.60000e+01 -0.00000e+00  0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  8.52625e-04 -1.28501e-08  1.08665e-02  2.38951e-02
5.50364e+00  0.00000e+00  3.30000e+01  0.00000e+00  4.60000e+01 -0.00000e+00  0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  7.90253e-04 -1.14860e-08  1.09462e-02  2.41500e-02
6.00360e+00  0.00000e+00  3.30000e+01  0.00000e+00  4.60000e+01 -0.00000e+00  0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  7.35848e-04 -1.00911e-08  1.10244e-02  2.51726e-02
