     t          kpm          kmax         Hmax         ksec         Hsec          Hp           Hm           HHp         HHm          HH0         mu5rms      mu5rms_ts     mu5m_ts       EMag         HMag        xiMag        xiHel
1.00456e+00  0.00000e+00  5.30000e+01  0.00000e+00  6.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  4.98774e-03  8.04640e-06  1.27592e-02  1.56840e-02
1.50376e+00  0.00000e+00  5.30000e+01  0.00000e+00  6.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  4.08728e-03  8.01002e-06  1.35109e-02  1.67136e-02
2.00300e+00  0.00000e+00  5.30000e+01  0.00000e+00  6.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  3.51819e-03  7.97063e-06  1.40793e-02  1.75571e-02
2.50446e+00  0.00000e+00  4.80000e+01  0.00000e+00  6.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  3.10558e-03  7.93443e-06  1.45863e-02  1.83023e-02
3.00333e+00  0.00000e+00  4.90000e+01  0.00000e+00  6.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  2.78832e-03  7.90501e-06  1.50574e-02  1.89819e-02
3.50406e+00  0.00000e+00  4.40000e+01  0.00000e+00  2.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  2.53011e-03  7.87100e-06  1.55086e-02  1.96248e-02
4.00422e+00  0.00000e+00  4.40000e+01  0.00000e+00  2.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  2.31592e-03  7.84407e-06  1.59456e-02  2.02474e-02
4.50268e+00  0.00000e+00  4.40000e+01  0.00000e+00  2.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  2.13343e-03  7.81918e-06  1.63718e-02  2.08417e-02
5.00465e+00  0.00000e+00  4.30000e+01  0.00000e+00  2.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.97523e-03  7.79619e-06  1.67888e-02  2.14262e-02
5.50361e+00  0.00000e+00  4.30000e+01  0.00000e+00  2.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.83724e-03  7.77538e-06  1.71946e-02  2.19880e-02
6.00388e+00  4.99014e+02  3.80000e+01  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.71551e-03  7.74986e-06  1.76002e-02  2.25360e-02
6.50375e+00  4.04360e+02  3.80000e+01  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.60726e-03  7.72874e-06  1.79932e-02  2.30747e-02
7.00263e+00  4.56810e+02  3.40000e+01  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.51045e-03  7.70859e-06  1.83830e-02  2.36038e-02
7.50323e+00  5.16409e+02  3.40000e+01  0.00000e+00  0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.42371e-03  7.69100e-06  1.87691e-02  2.41217e-02
8.00463e+00  5.18746e+02  3.40000e+01  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.34407e-03  7.67361e-06  1.91477e-02  2.46332e-02
8.50482e+00  4.96327e+02  3.40000e+01  0.00000e+00  0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.27291e-03  7.64987e-06  1.95230e-02  2.51261e-02
