     t         kpm        kmax       Hmax       ksec       Hsec        Hp         Hm         HHp       HHm        HH0      mu5rms    mu5rms_ts  mu5m_ts      EMag       HMag      xiMag      xiHel
1.00267e+00  9.82251e-01  2.60000e+01  0.00000e+00  2.30000e+01 -0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  7.41800e-03  3.56012e-06  2.25116e-02  2.66029e-02
1.50326e+00  9.81177e-01  2.60000e+01  0.00000e+00  2.30000e+01 -0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  6.21059e-03  3.55237e-06  2.38368e-02  2.82729e-02
2.00399e+00  9.81663e-01  2.60000e+01  0.00000e+00  2.30000e+01 -0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  5.48146e-03  3.54459e-06  2.46524e-02  2.95743e-02
2.50394e+00  9.89233e-01  2.60000e+01  0.00000e+00  2.30000e+01 -0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  4.96211e-03  3.54152e-06  2.52320e-02  3.06423e-02
3.00459e+00  9.99159e-01  2.60000e+01  0.00000e+00  2.30000e+01 -0.00000e+00 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  4.56210e-03  3.53597e-06  2.57480e-02  3.15094e-02
3.50260e+00  0.00000e+00  2.60000e+01  0.00000e+00  2.30000e+01 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  4.23697e-03  3.52850e-06  2.62378e-02  3.23013e-02
4.00441e+00  0.00000e+00  2.60000e+01  0.00000e+00  2.30000e+01 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  3.96009e-03  3.52560e-06  2.67178e-02  3.31852e-02
4.50332e+00  0.00000e+00  2.60000e+01  0.00000e+00  2.30000e+01 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  3.72278e-03  3.52182e-06  2.71921e-02  3.40555e-02
5.00458e+00  0.00000e+00  2.60000e+01  0.00000e+00  2.30000e+01 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  3.51185e-03  3.51408e-06  2.76589e-02  3.49874e-02
5.50368e+00  1.91566e+00  2.60000e+01  0.00000e+00  2.30000e+01 -0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  3.32444e-03  3.51163e-06  2.81187e-02  3.59031e-02
